County	 COUNTYNUM	2005	2006	2007	2008	2009	2010	2011	2012	2013
Adams	1	8.5	7.6	7.7	9.3	14.7	15.9	14.3	12.6	12.7
Allen	2	6.2	6.1	6.3	7.4	11.3	10.7	9.5	7.7	7.8
Ashland	3	6.5	5.5	6	7.5	12.5	11.9	9.9	8	8.1
Ashtabula	4	7.4	6.7	7	8	13.6	12.9	10.9	9.4	9.5
Athens	5	6.6	5.9	6.1	6.7	8.8	10.6	9.9	8.5	9
Auglaize	6	4.6	4.2	4.4	5.4	10.7	10	8.1	6.2	5.9
Belmont	7	6.6	5.8	5.6	6.1	9.2	11.3	9.5	8.2	8.2
Brown	8	7	6.9	6.5	7.6	12.8	13.3	11.9	10	10.2
Butler	9	5.4	5.7	5.1	5.9	9.6	10	9.1	7.7	7.5
Carroll	10	6.9	6.1	6.2	7.6	13.7	13	10.2	7.9	7.9
Champaign	11	5.8	5.1	5.9	7	11.9	11.5	9.4	7.4	6.9
Clark	12	6.5	5.6	6.2	6.7	10.6	11	9.5	7.8	7.5
Clermont	13	5.5	5.1	5.1	5.9	9.8	10.4	9.1	7.4	7.4
Clinton	14	5.6	4.8	4.8	6	14.8	17	13.5	10.7	10.5
Columbiana	15	7.3	6.5	6.2	7.2	13.4	12.6	10.2	8.2	8.3
Coshocton	16	8.4	7	6.8	8.6	13.5	12.7	11.5	10.1	9.8
Crawford	17	6.8	6.5	7	8.7	14.8	12.9	11.5	9.1	9.2
Cuyahoga	18	5.4	5.1	5.7	6.2	8.7	8.5	7.6	6.8	7
Darke	19	6	5.7	5.6	6.4	11.4	11.2	9.3	7.2	7
Defiance	20	6.2	5.6	5.6	7.5	14.1	12.2	9.6	7.7	7.5
Delaware	21	4.4	3.9	4	4.6	7.1	7.2	6.2	5.2	5.3
Erie	22	6.5	5.9	6	7.3	11.8	11.3	9.5	8	8.1
Fairfield	23	5.5	4.8	5	5.7	8.7	9.2	8	6.6	6.7
Fayette	24	5.9	4.9	4.8	5.7	11.2	13.1	10.5	8.3	7.7
Franklin	25	5.4	4.7	4.7	5.5	8.5	8.9	7.8	6.4	6.4
Fulton	26	6.3	5.9	6.3	8.2	13.9	11.8	9.6	7.7	7.9
Gallia	27	7.4	6.1	6.2	6.6	9.5	11.8	11.2	9.7	9.7
Geauga	28	4.3	4	4.5	5	6.9	6.9	6	5.3	5.7
Greene	29	5.7	5.1	5.2	6.2	9.8	9.5	8.3	6.9	7
Guernsey	30	7.4	6.5	6.4	8.6	12.2	12.7	10.8	9	8.7
Hamilton	31	5.6	5.1	5.1	5.7	9.1	9.9	8.9	7.4	7.3
Hancock	32	5.1	4.4	4.5	5.9	10.4	9.1	7.8	6.4	6.2
Hardin	33	6	5.6	6	7.2	12.3	11.2	9.5	7.5	7.7
Harrison	34	6.7	6	6.2	7.2	11.7	12.5	10.7	8.5	7.9
Henry	35	6.3	6.1	6.3	8	13.6	13.1	10.7	8.7	8.8
Highland	36	6.1	5.6	5.9	7.4	15.5	17.3	13.5	10.4	10.5
Hocking	37	7.7	6.2	6.4	7.6	11.3	11.7	9.9	8.3	8.1
Holmes	38	4.1	3.8	4	4.9	7.9	7.6	6.3	5.1	5.2
Huron	39	7.9	7.4	8.1	9.8	15.8	13.2	11.4	9.9	10.2
Jackson	40	7.5	7.5	7.9	8.5	11.3	12.5	11.8	10.3	10.5
Jefferson	41	7.7	6.9	6.4	7	12.3	14.5	12	10.9	10.9
Knox	42	5.8	5.1	5.4	6.4	9.8	9.7	8.7	6.9	6.9
Lake	43	4.6	4.3	4.8	5.3	8	7.9	6.8	5.9	6.3
Lawrence	44	6.2	5.3	5.2	5.5	8.3	10.3	9.5	8.5	8.8
Licking	45	5.9	5.1	5.3	6.2	9.6	9.6	8.4	6.8	6.9
Logan	46	5.3	4.7	5	6	12	11.8	9.8	7.1	6.8
Lorain	47	5.2	5.2	5.7	6.4	9.6	9.1	7.8	7.1	7.4
Lucas	48	7	6.3	6.8	8.2	12.4	11.5	9.9	8.3	8.7
Madison	49	6	5.3	5.2	6.2	9.5	9	7.9	6.4	6.3
Mahoning	50	7.1	6.4	6.2	7.1	12.6	11.7	9.8	8.3	8.5
Marion	51	6.3	5.4	5.5	7	11.5	11	9.9	7.9	7.9
Medina	52	4.4	4.3	4.8	5.3	7.7	7.4	6.4	5.5	5.8
Meigs	53	10.1	8.4	8.9	10	14.9	14.6	13.1	11.6	11.9
Mercer	54	4.1	3.8	3.8	4.9	9	8.5	6.7	5.1	5.1
Miami	55	5.8	5.4	5.4	6.4	11.8	11.1	9.1	7.3	7.2
Monroe	56	13.5	11.2	8.2	8.5	12.7	12.2	9.9	8.4	10
Montgomery	57	6.5	6	6.2	7.5	11.6	11.4	9.7	8.2	8.3
Morgan	58	10.2	9.1	9.3	10.2	14.6	13.3	11.4	9.9	10.1
Morrow	59	6.4	5.7	5.8	7.1	11.2	11.4	10.1	8.1	8
Muskingum	60	8.5	7.2	7.8	8.7	12.7	12.6	10.9	9.2	9.2
Noble	61	8.4	7.2	7.4	8.6	14.5	16	13.3	11	9.6
Ottawa	62	7.9	7	7.2	8.8	14.3	12.3	11.1	9.5	9.7
Paulding	63	5.5	4.9	5	7.1	13.9	12.6	9.8	7.7	7.6
Perry	64	8.4	7.4	7.3	8.5	13.5	13.4	11.6	9.8	9.6
Pickaway	65	7.2	5.8	6.1	7.1	11.1	10.6	9.2	7.4	7.3
Pike	66	10.3	8.9	9.5	10.2	15.3	14.8	15.2	13	12.2
Portage	67	5.8	5.2	5.3	6.3	10.2	10.3	8.9	7.3	7.7
Preble	68	6	6	5.8	6.9	12.3	11	9.6	7.7	7.5
Putnam	69	5.4	4.7	4.8	5.8	10.7	9.3	7.4	5.8	6
Richland	70	6.7	6.1	6.5	7.4	12.9	12.1	10.6	8.7	8.6
Ross	71	7.5	6.2	6.9	7.9	12.2	11.9	10	8.4	8.7
Sandusky	72	6.4	5.8	6.1	7.2	12.2	10.8	9.2	7.5	7.6
Scioto	73	8.8	7.6	7.4	8.3	12.5	13.3	12.5	11.3	11.9
Seneca	74	6.2	5.3	5.7	7.1	12.7	11.9	9.6	8	7.8
Shelby	75	4.8	4.3	4.8	6.2	13.8	12.4	9.7	7.3	6.7
Stark	76	6.6	5.8	5.8	6.8	11.4	11.3	9.3	7.5	7.6
Summit	77	5.9	5.3	5.4	6.1	10	10.6	9.1	7.5	7.6
Trumbull	78	7	6.3	6.2	7.5	13.9	13.2	10.7	9	9.3
Tuscarawas	79	5.8	5.1	5.4	6.3	11.3	11.2	9.3	7.4	7.3
Union	80	5.1	4.6	4.3	5.2	8.6	8.4	7.2	5.7	5.8
Van Wert	81	5.3	4.9	5.5	8.5	14.9	12.1	9.3	7.6	7
Vinton	82	8.4	7.9	7.9	9.2	13.2	13.5	11.9	10.8	10.7
Warren	83	4.9	4.9	4.6	5.5	8.9	9	7.9	6.5	6.5
Washington	84	6.1	5.3	5.2	5.5	9.6	11.4	10	8.6	8.6
Wayne	85	5.1	4.7	4.8	5.7	10.1	9.3	7.7	6.1	6.2
Williams	86	6.3	6	6	7.7	15.9	13.2	10.8	7.9	7.5
Wood	87	5.8	5.2	5.3	6.8	11.5	9.9	8.3	6.9	7
Wyandot	88	6	5.9	6.5	7.9	14.1	11.1	9.2	6.8	6.3
